CLASS,AGE,SEX,SURVIVED
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Home,Mor
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Sobreviu
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Adult,Dona,Mor
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Sobreviu
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Home,Mor
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Sobreviu
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
3aa,Nen,Dona,Mor
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Sobreviu
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
crew,Adult,Home,Mor
